site_name,product_name,address,city,zip,latitude,longitude,state_province,order_volume,product_unit,Warehouse,Distance (km)
954 Lovell,No Lead Plus,167 E 3Rd St,Lovell,82431,44.8393,-108.39,Wyoming,4.589,US gallon,#LAS2,1434.077
979 Gillette,MEDIUM FTN,2005 S Douglas Hwy,Gillette,82718,44.2762,-105.493,Wyoming,2,pack,#LAS2,1492.333
979 Gillette,No Lead Plus,2005 S Douglas Hwy,Gillette,82718,44.2762,-105.493,Wyoming,23.6,US gallon,#LAS2,1492.333
961 Burlington,MEDIUM FTN,211 S Main St,Burlington,82411,44.4447,-108.431,Wyoming,1,pack,#LAS2,1368.162
961 Burlington,No Lead Plus,211 S Main St,Burlington,82411,44.4447,-108.431,Wyoming,13.771,US gallon,#LAS2,1368.162
966 Cowley,MEDIUM FTN,71 E Main St,Cowley,82420,44.8837,-108.468,Wyoming,1,pack,#LAS2,1435.378
966 Cowley,KOOLEE,71 E Main St,Cowley,82420,44.8837,-108.468,Wyoming,1,pack,#LAS2,1435.378
1097 Enterprise,MEDIUM FTN,600 Boll Weevil Circle,Enterprise,52555,40.648,-92.8406,Iowa,1,pack,#XUSE,709.279
1097 Enterprise,G87E10S,600 Boll Weevil Circle,Enterprise,52555,40.648,-92.8406,Iowa,55.908,US gallon,#XUSE,709.279
120 Clanton,MEDIUM FTN,1415 7Th Street South,Clanton,52146,43.2007,-91.1525,Iowa,1,pack,#XUSE,679.253
120 Clanton,G87E10S,1415 7Th Street South,Clanton,52146,43.2007,-91.1525,Iowa,5.935,US gallon,#XUSE,679.253
135 Fort Payne,G87E10S,2001 Glenn Bldv Sw,Fort Payne,50042,41.5445,-94.9231,Iowa,7.521,US gallon,#XUSE,867.237
143 Haleyville,KOOLEE,42417 Hwy 195,Haleyville,72055,34.1177,-91.3771,Arkansas,1,pack,#XUSE,978.739
143 Haleyville,No Lead Plus,42417 Hwy 195,Haleyville,72055,34.1177,-91.3771,Arkansas,2.96,US gallon,#XUSE,978.739
143 Haleyville,G87E10S,42417 Hwy 195,Haleyville,72055,34.1177,-91.3771,Arkansas,53.522,US gallon,#XUSE,978.739
367 Arthur,MEDIUM FTN,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,1,pack,#LAS2,1589.877
367 Arthur,MEDIUM FTN,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,1,pack,#XUSE,1521.467
367 Arthur,SLC PZ PEPPRNI 13IN FCS,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,1,pack,#LAS2,1589.877
367 Arthur,SLC PZ PEPPRNI 13IN FCS,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,1,pack,#XUSE,1521.467
367 Arthur,G87E10S,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,6.208,US gallon,#LAS2,1589.877
367 Arthur,G87E10S,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,6.208,US gallon,#XUSE,1521.467
367 Arthur,No Lead Plus,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,22.37,US gallon,#LAS2,1589.877
367 Arthur,No Lead Plus,309 Fir St,Arthur,69121,41.5711,-101.691,Nebraska,22.37,US gallon,#XUSE,1521.467
368 Harrisburg,MEDIUM FTN,306 State St,Harrisburg,69345,41.5565,-103.741,Nebraska,1,pack,#LAS2,1480.849
368 Harrisburg,FIREBALL WHSKY 50ML,306 State St,Harrisburg,69345,41.5565,-103.741,Nebraska,2,pack,#LAS2,1480.849
368 Harrisburg,G87E10S,306 State St,Harrisburg,69345,41.5565,-103.741,Nebraska,43.202,US gallon,#LAS2,1480.849
368 Harrisburg,No Lead Plus,306 State St,Harrisburg,69345,41.5565,-103.741,Nebraska,13.98,US gallon,#LAS2,1480.849
409 Cave Springs,G87E10S,115 E Midway St,Cave Springs,72718,36.2636,-94.2313,Arkansas,49.44,US gallon,#XUSE,961.941
409 Cave Springs,SLC PZ PEPPRNI 13IN FCS,115 E Midway St,Cave Springs,72718,36.2636,-94.2313,Arkansas,3,pack,#XUSE,961.941
409 Cave Springs,No Lead Plus,115 E Midway St,Cave Springs,72718,36.2636,-94.2313,Arkansas,3.573,US gallon,#XUSE,961.941
320 Northglenn,SLC PZ PEPPRNI 13IN FCS,850 W 112Th Ave,Northglenn,80234,39.8994,-104.998,Colorado,1,pack,#LAS2,1209.745
1443 Huntsville,MEDIUM FTN,6140A Univ Drive,Huntsville,52345,42.2241,-91.875,Iowa,1,pack,#XUSE,644.489
1443 Huntsville,G87E10S,6140A Univ Drive,Huntsville,52345,42.2241,-91.875,Iowa,14.08,US gallon,#XUSE,644.489
146 Bella Vista,KOOLEE,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,Arkansas,1,pack,#XUSE,931.749
146 Bella Vista,MEDIUM FTN,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,Arkansas,1,pack,#XUSE,931.749
146 Bella Vista,HOT DOG FCS,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,Arkansas,2,pack,#XUSE,931.749
146 Bella Vista,G87E10S,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,Arkansas,10.192,US gallon,#XUSE,931.749
387 Big Flat,MEDIUM FTN,100 Community Dr,Big Flat,72617,36.0018,-92.4051,Arkansas,1,pack,#XUSE,895.502
387 Big Flat,G87E10S,100 Community Dr,Big Flat,72617,36.0018,-92.4051,Arkansas,17.124,US gallon,#XUSE,895.502
433 Bay Minette,KOOLEE,701 Mcmeans Ave,Bay Minette,63540,40.1474,-92.3793,Missouri,3,pack,#XUSE,647.795
433 Bay Minette,No Lead Plus,701 Mcmeans Ave,Bay Minette,63540,40.1474,-92.3793,Missouri,35.487,US gallon,#XUSE,647.795
433 Bay Minette,G87E10S,701 Mcmeans Ave,Bay Minette,63540,40.1474,-92.3793,Missouri,41.138,US gallon,#XUSE,647.795
1475 Montgomery,G87E10S,851 Ann St,Montgomery,63382,39.3071,-91.486,Missouri,8.645,US gallon,#XUSE,536.485
152 Wilmot,SLC PZ PEPPRNI 13IN FCS,202 Mccombs St,Wilmot,71676,33.0593,-91.5728,Arkansas,5,pack,#XUSE,1083.546
